"","Latv. val.","Rīgas 63. vidusskola","35.01"
"","Vēsture","Rīgas 63. vidusskola","53.83"
"","Matem.","Rīgas 63. vidusskola","36.13"
"","Latv. val. 9.kl.","Rīgas 63. vidusskola","59.87"
"","Angļu v.","Rīgas 64. vidusskola","81.29"
"","Bio.","Rīgas 64. vidusskola","67.61"
"","Fiz.","Rīgas 64. vidusskola","54.58"
"","Krievu v.","Rīgas 64. vidusskola","76.01"
"","Ķīm.","Rīgas 64. vidusskola","58.22"
"","Latv. val.","Rīgas 64. vidusskola","73.69"
"","Vēsture","Rīgas 64. vidusskola","78.12"
"","Matem.","Rīgas 64. vidusskola","57.79"
"","Vācu val.","Rīgas 64. vidusskola","77.91"
"","Angļu v.","Rīgas 65. vidusskola","45.78"
"","Bio.","Rīgas 65. vidusskola","50.67"
"","Fiz.","Rīgas 65. vidusskola","42.33"
"","Ķīm.","Rīgas 65. vidusskola","82.67"
"","Latv. val.","Rīgas 65. vidusskola","33.03"
"","Matem.","Rīgas 65. vidusskola","27.65"
"","Latv. val. 9.kl.","Rīgas 65. vidusskola","63.04"
"","Angļu v.","Rīgas 66. speciālā vidusskola","71.84"
"","Bio.","Rīgas 66. speciālā vidusskola","42"
"","Fiz.","Rīgas 66. speciālā vidusskola","65.67"
"","Latv. val.","Rīgas 66. speciālā vidusskola","56.64"
"","Vēsture","Rīgas 66. speciālā vidusskola","61.02"
"","Matem.","Rīgas 66. speciālā vidusskola","41.6"
"","Latv. val. 9.kl.","Rīgas 66. speciālā vidusskola","61.97"
"","Angļu v.","Rīgas 71. vidusskola","64.93"
"","Fiz.","Rīgas 71. vidusskola","42"
"","Ķīm.","Rīgas 71. vidusskola","65.33"
"","Latv. val.","Rīgas 71. vidusskola","44.65"
"","Matem.","Rīgas 71. vidusskola","46.51"
"","Latv. val. 9.kl.","Rīgas 71. vidusskola","70.88"
"","Angļu v.","Rīgas 72. vidusskola","62.22"
"","Bio.","Rīgas 72. vidusskola","67"
"","Fiz.","Rīgas 72. vidusskola","61.78"
"","Ķīm.","Rīgas 72. vidusskola","78"
"","Latv. val.","Rīgas 72. vidusskola","46.92"
"","Matem.","Rīgas 72. vidusskola","44.63"
"","Latv. val. 9.kl.","Rīgas 72. vidusskola","69.26"
"","Angļu v.","Rīgas 74. vidusskola","59.9"
"","Bio.","Rīgas 74. vidusskola","56.53"
"","Ķīm.","Rīgas 74. vidusskola","51"
"","Latv. val.","Rīgas 74. vidusskola","42.85"
"","Vēsture","Rīgas 74. vidusskola","41.33"
"","Matem.","Rīgas 74. vidusskola","42.79"
"","Latv. val. 9.kl.","Rīgas 74. vidusskola","69.71"
"","Angļu v.","Rīgas 75. vidusskola","63.27"
"","Fiz.","Rīgas 75. vidusskola","42.67"
"","Latv. val.","Rīgas 75. vidusskola","40.37"
"","Matem.","Rīgas 75. vidusskola","37.22"
"","Latv. val. 9.kl.","Rīgas 75. vidusskola","64.85"
"","Angļu v.","Rīgas 80. vidusskola","60.29"
"","Bio.","Rīgas 80. vidusskola","60.17"
"","Ķīm.","Rīgas 80. vidusskola","69"
"","Latv. val.","Rīgas 80. vidusskola","36.49"
"","Matem.","Rīgas 80. vidusskola","35.6"
"","Latv. val. 9.kl.","Rīgas 80. vidusskola","64.92"
"","Angļu v.","Rīgas 84. vidusskola","75.32"
"","Bio.","Rīgas 84. vidusskola","62.52"
"","Fiz.","Rīgas 84. vidusskola","30.33"
"","Krievu v.","Rīgas 84. vidusskola","78.65"
"","Ķīm.","Rīgas 84. vidusskola","72"
"","Latv. val.","Rīgas 84. vidusskola","63.05"
"","Vēsture","Rīgas 84. vidusskola","48.96"
"","Matem.","Rīgas 84. vidusskola","47.38"
"","Angļu v.","Rīgas 85. vidusskola","76.95"
"","Bio.","Rīgas 85. vidusskola","56.67"
"","Latv. val.","Rīgas 85. vidusskola","56.77"
"","Vēsture","Rīgas 85. vidusskola","44.35"
"","Matem.","Rīgas 85. vidusskola","45.82"
"","Angļu v.","Rīgas 86. vidusskola","55.19"
"","Fiz.","Rīgas 86. vidusskola","38.67"
"","Ķīm.","Rīgas 86. vidusskola","32.67"
"","Latv. val.","Rīgas 86. vidusskola","32.93"
"","Vēsture","Rīgas 86. vidusskola","75.81"
"","Matem.","Rīgas 86. vidusskola","42.05"
"","Latv. val. 9.kl.","Rīgas 86. vidusskola","58.19"
"","Angļu v.","Rīgas 88. vidusskola","66.24"
"","Bio.","Rīgas 88. vidusskola","67.89"
"","Fiz.","Rīgas 88. vidusskola","63.78"
"","Ķīm.","Rīgas 88. vidusskola","51.44"
"","Latv. val.","Rīgas 88. vidusskola","38.9"
"","Vēsture","Rīgas 88. vidusskola","61.29"
"","Matem.","Rīgas 88. vidusskola","42.41"
"","Vācu val.","Rīgas 88. vidusskola","78.87"
"","Latv. val. 9.kl.","Rīgas 88. vidusskola","64.72"
"","Angļu v.","Rīgas 89. vidusskola","60.38"
"","Fiz.","Rīgas 89. vidusskola","41.33"
"","Latv. val.","Rīgas 89. vidusskola","37.72"
"","Matem.","Rīgas 89. vidusskola","37.65"
"","Latv. val. 9.kl.","Rīgas 89. vidusskola","58.16"
"","Angļu v.","Rīgas 9. vakara (maiņu) vidusskola","41.87"
"","Fiz.","Rīgas 9. vakara (maiņu) vidusskola","8"
"","Krievu v.","Rīgas 9. vakara (maiņu) vidusskola","63.78"
"","Latv. val.","Rīgas 9. vakara (maiņu) vidusskola","34.61"
"","Vēsture","Rīgas 9. vakara (maiņu) vidusskola","36.99"
"","Matem.","Rīgas 9. vakara (maiņu) vidusskola","16.23"
"","Latv. val. 9.kl.","Rīgas 9. vakara (maiņu) vidusskola","53.81"
"","Angļu v.","Rīgas 92. vidusskola","50.74"
